,Unnamed: 0,index,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,0.0,,0,2019-03-23 03:32:08.385759,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
1,1.0,,1,2019-03-23 03:32:08.385759,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
2,2.0,,2,2019-03-23 03:32:08.385759,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
3,3.0,,3,2019-03-23 03:32:08.385759,Pompe Funebri | La Savonese | OnoranzefunebriLaSavonese.com‎,ADS A,44.307208_8.482031,pompe funebri,1.0,True,True,to be implemented
4,4.0,,0,2019-03-23 03:32:08.385759,Pompe Funebri | Tortarolo &amp; Conti‎,ADS B,44.307208_8.482031,pompe funebri,0.0,No ADS,No ADS,to be implemented
5,5.0,,1,2019-03-23 03:32:08.385759,Pompe Funebri | Onoranze Funebri Serra Vado L.‎,ADS B,44.307208_8.482031,pompe funebri,1.0,No ADS,No ADS,to be implemented
6,6.0,,0,2019-03-23 03:33:28.259629,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
7,7.0,,1,2019-03-23 03:33:28.259629,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
8,8.0,,2,2019-03-23 03:33:28.259629,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
9,9.0,,3,2019-03-23 03:33:28.259629,Pompe Funebri | Tortarolo &amp; Conti | pompefunebritortaroloeconti.com‎,ADS A,44.307208_8.482031,pompe funebri,1.0,True,True,to be implemented
10,10.0,,0,2019-03-23 03:34:23.653902,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
11,11.0,,1,2019-03-23 03:34:23.653902,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
12,12.0,,2,2019-03-23 03:34:23.653902,Pompe Funebri | Tortarolo &amp; Conti | pompefunebritortaroloeconti.com‎,ADS A,44.307208_8.482031,pompe funebri,1.0,True,True,to be implemented
13,13.0,,0,2019-03-23 03:34:23.653902,Onoranze Funebri | Pompe Funebri Liguri‎,ADS B,44.307208_8.482031,pompe funebri,0.0,No ADS,No ADS,to be implemented
14,14.0,,1,2019-03-23 03:34:23.653902,Pompe Funebri | Onoranze Funebri Serra Vado L.‎,ADS B,44.307208_8.482031,pompe funebri,1.0,No ADS,No ADS,to be implemented
15,15.0,,0,2019-03-23 03:35:41.794044,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,pompe funebri,0.0,False,False,to be implemented
